operation,file,original_size,compressed_size,encode_avg_ms,encode_sko_ms
ENCODE,experiments/data/small.txt,8528,6376,4.80671,0.57329
ENCODE,experiments/data/large.txt,16711198,8456310,904.26,70.0883
ENCODE,experiments/data/binary.bin,312688,228583,26.9475,4.35841
ENCODE,experiments/data/compressed.zip,4558359,4560423,466.907,66.4308
ENCODE,experiments/data/image.jpg,2054988,2056590,97.0942,243.625
ENCODE,experiments/data/music.mp3,10553930,10508615,940.451,50.1997
DECODE,experiments/results/small.huff,8528,6376,5.05993,0.998219
DECODE,experiments/results/large.huff,16711198,8456310,4194.51,197.458
DECODE,experiments/results/binary.huff,312688,228583,92.0657,7.5378
DECODE,experiments/results/compressed.huff,4558359,4560423,1504.1,289.767
DECODE,experiments/data/image.huff,2054988,2056590,701.894,28.9929
DECODE,experiments/data/music.huff,10553930,10508615,3779.33,277.17
